course,mentor_id
CS 24: Introduction to Computing Systems,0
CS 176: Computer Graphics Research,0
CS 1 x: Intermediate Computer Programming,0
CS 80 abc: Undergraduate Thesis,0
CS 116: Reasoning about Program Correctness,0
CS 115: Functional Programming,1
CS 42: Computer Science Education in K-14 Settings,1
EE/Ma/CS 126 ab: Information Theory,1
BE/CS 196 ab: Design and Construction of Programmable Molecular Systems,1
ME/CS/EE 169: Mobile Robots,1
CS/Ec 149: Algorithmic Economics,2
CS 164: Compilers,2
BE/CS 196 ab: Design and Construction of Programmable Molecular Systems,2
EE/CS 161: Big Data Networks,2
EE/CS/EST 135: Power System Analysis,2
CS 102 abc: Seminar in Computer Science,3
CS 128: Interactive Theorem Proving,3
CS 11: Computer Language Lab,3
CS 179: GPU Programming,3
Bi/BE/CS 183: Introduction to Computational Biology and Bioinformatics,3
CS 21: Decidability and Tractability,4
CS 4: Fundamentals of Computer Programming,4
EE/CNS/CS 148: Advanced Topics in Vision: Large Language and Vision Models,4
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,4
EE/Ma/CS/IDS 136: Information Theory and Applications,4
Bi/BE/CS 183: Introduction to Computational Biology and Bioinformatics,5
CS 24: Introduction to Computing Systems,5
ME/CS/EE 133 ab: Robotics,5
CS 274 abc: Topics in Computer Graphics,5
BE/CS/CNS/Bi 191 ab: Biomolecular Computation,5
CS/CNS/EE 156 ab: Learning Systems,6
CS/EE/IDS 143: Networks: Algorithms & Architecture,6
CS 128: Interactive Theorem Proving,6
EE/CNS/CS 148: Advanced Topics in Vision: Large Language and Vision Models,6
EE/CS/IDS 167: Introduction to Data Compression and Storage,6
CS 282 abc: Reading in Computer Science,7
CS/IDS 121: Relational Databases,7
CS 3: Introduction to Software Design,7
CNS/Bi/Ph/CS/NB 187: Neural Computation,7
CS 176: Computer Graphics Research,7
CS 81 abc: Undergraduate Projects in Computer Science,8
CS 141: Hack Society: Projects from the Public Sector,8
Ec/ACM/CS 112: Bayesian Statistics,8
EE/CS 161: Big Data Networks,8
CS 287: Center for the Mathematics of Information Seminar,8
CS 274 abc: Topics in Computer Graphics,9
EE/Ma/CS 126 ab: Information Theory,9
CS 4: Fundamentals of Computer Programming,9
CS 24: Introduction to Computing Systems,9
CS 2: Introduction to Programming Methods,9
CS 128: Interactive Theorem Proving,10
CS/CNS/EE/IDS 159: Advanced Topics in Machine Learning,10
CS/Ph 120: Quantum Cryptography,10
BE/CS 196 ab: Design and Construction of Programmable Molecular Systems,10
CS/CNS/EE/IDS 165: Foundations of Machine Learning and Statistical Inference,10
CS/IDS 121: Relational Databases,11
CS 80 abc: Undergraduate Thesis,11
CS 1 x: Intermediate Computer Programming,11
CS 151: Complexity Theory,11
CS 42: Computer Science Education in K-14 Settings,11
BE/CS/CNS/Bi 191 ab: Biomolecular Computation,12
CS 282 abc: Reading in Computer Science,12
CS/EE/IDS 166: Computational Cameras,12
CS 131: Programming Languages,12
CS 3: Introduction to Software Design,12
CS/EE 145: Projects in Networking,13
CS 164: Compilers,13
ME/CS/EE 134: Robotic Systems,13
CS 38: Algorithms,13
EE/CS 147: Digital Ventures Design,13
IDS/ACM/CS 158: Fundamentals of Statistical Learning,14
CS 115: Functional Programming,14
CMS/CS/EE/IDS 144: Networks: Structure & Economics,14
EE/CS 10 ab: Introduction to Digital Logic and Embedded Systems,14
CS/IDS 178: Numerical Algorithms and their Implementation,14
CMS/CS/EE/IDS 144: Networks: Structure & Economics,15
CS 81 abc: Undergraduate Projects in Computer Science,15
CS 101: Special Topics in Computer Science,15
CS/IDS 121: Relational Databases,15
CS 24: Introduction to Computing Systems,15
Bi/BE/CS 183: Introduction to Computational Biology and Bioinformatics,16
CNS/Bi/Ph/CS/NB 187: Neural Computation,16
EE/CNS/CS 148: Advanced Topics in Vision: Large Language and Vision Models,16
CS 80 abc: Undergraduate Thesis,16
CS/EE/IDS 143: Networks: Algorithms & Architecture,16
Ma/CS 117 abc: Computability Theory,17
CS 130: Software Engineering,17
EE/CS/EST 135: Power System Analysis,17
ME/CS/EE 134: Robotic Systems,17
CS 282 abc: Reading in Computer Science,17
CS 128: Interactive Theorem Proving,18
ME/CS/EE 169: Mobile Robots,18
CS 286 abc: Seminar in Computer Science,18
CS 12: Student-Taught Topics in Computing,18
CS 19 ab: Introduction to Computer Science in Industry,18
CS/IDS 142: Distributed Computing,19
CS/CNS/EE 156 ab: Learning Systems,19
CS 3: Introduction to Software Design,19
CS 90: Undergraduate Reading in Computer Science,19
CMS/CS/IDS 139: Analysis and Design of Algorithms,19
CS 2: Introduction to Programming Methods,20
ME/CS/EE 129: Experimental Robotics,20
CS/CNS/EE/IDS 165: Foundations of Machine Learning and Statistical Inference,20
ME/CS/EE 169: Mobile Robots,20
EE/Ma/CS/IDS 136: Information Theory and Applications,20
CS/EE/IDS 166: Computational Cameras,21
CS/CNS/EE 156 ab: Learning Systems,21
ME/CS/EE 133 ab: Robotics,21
HPS/Pl/CS 110: Causation and Explanation,21
CS 164: Compilers,21
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,22
CS/IDS 121: Relational Databases,22
HPS/Pl/CS 110: Causation and Explanation,22
CS/EE/ME 75 abc: Multidisciplinary Systems Engineering,22
Ec/ACM/CS 112: Bayesian Statistics,22
CS 180: Master’s Thesis Research,23
CS 286 abc: Seminar in Computer Science,23
CS/EE 146: Control and Optimization of Networks,23
CS 9: Introduction to Computer Science Research,23
CS/CNS/EE 156 ab: Learning Systems,23
EE/CS 161: Big Data Networks,24
CS 19 ab: Introduction to Computer Science in Industry,24
CS 24: Introduction to Computing Systems,24
EE/CS/EST 135: Power System Analysis,24
CS 21: Decidability and Tractability,24
CS 101: Special Topics in Computer Science,25
EE/CS 119 abc: Advanced Digital Systems Design,25
CS/EE/ME 75 abc: Multidisciplinary Systems Engineering,25
CS 80 abc: Undergraduate Thesis,25
IDS/ACM/CS 158: Fundamentals of Statistical Learning,25
CS/CNS 174: Computer Graphics Projects,26
CS/IDS 150 ab: Probability and Algorithms,26
CS 38: Algorithms,26
CS 4: Fundamentals of Computer Programming,26
CS/IDS 121: Relational Databases,26
CS 115: Functional Programming,27
CS 152: Introduction to Cryptography,27
CS/EE 146: Control and Optimization of Networks,27
CS 1 x: Intermediate Computer Programming,27
CS/EE/IDS 143: Networks: Algorithms & Architecture,27
CS/IDS 121: Relational Databases,28
ME/CS/EE 133 ab: Robotics,28
CS 2: Introduction to Programming Methods,28
CS 151: Complexity Theory,28
EE/CS/IDS 160: Fundamentals of Information Transmission and Storage,28
CS 118: Automata-Theoretic Software Analysis,29
CS 3: Introduction to Software Design,29
CMS/CS/IDS 139: Analysis and Design of Algorithms,29
CS/CNS 174: Computer Graphics Projects,29
CS 128: Interactive Theorem Proving,29
CS 24: Introduction to Computing Systems,30
CS/Ec 149: Algorithmic Economics,30
CS 4: Fundamentals of Computer Programming,30
IDS/ACM/CS 157: Statistical Inference,30
BE/CS 196 ab: Design and Construction of Programmable Molecular Systems,30
CS 81 abc: Undergraduate Projects in Computer Science,31
CS 124: Operating Systems,31
EE/CS/IDS 160: Fundamentals of Information Transmission and Storage,31
CS/IDS 153: Current Topics in Theoretical Computer Science,31
CS/IDS 150 ab: Probability and Algorithms,31
CS/EE/IDS 143: Networks: Algorithms & Architecture,32
CS 2: Introduction to Programming Methods,32
CS 38: Algorithms,32
CS 131: Programming Languages,32
CS 1 x: Intermediate Computer Programming,32
CS 128: Interactive Theorem Proving,33
CS/IDS 150 ab: Probability and Algorithms,33
CS 124: Operating Systems,33
Ph/CS 219 abc: Quantum Computation,33
CS 282 abc: Reading in Computer Science,33
CS 180: Master’s Thesis Research,34
CS 132: Web Development,34
CNS/Bi/EE/CS/NB 186: Vision: From Computational Theory to Neuronal Mechanisms,34
CS 286 abc: Seminar in Computer Science,34
CS/EE/IDS 166: Computational Cameras,34
CS 128: Interactive Theorem Proving,35
CS 12: Student-Taught Topics in Computing,35
EE/Ma/CS 126 ab: Information Theory,35
CS/EE/IDS 166: Computational Cameras,35
CS/ACM 177 ab: Discrete Differential Geometry: Theory and Applications,35
