publication_id,mentor_id,link,abstract,publication_date
1,1,https://tosc.iacr.org/index.php/ToSC/article/download/8912/8488/,"At FSE 2004, Lipmaa et al. studied the additive differential probability adp⊕(α, β→ γ) of exclusive-or where differences α, β, γ∈ F n 2 are expressed using addition modulo 2 n. This probability is used in the analysis of symmetric-key primitives that combine XOR and modular addition, such as the increasingly popular Addition-Rotation-XOR (ARX) constructions. The focus of this paper is on maximal differentials, which are helpful when constructing differential trails. We provide the missing proof for Theorem 3 of the FSE 2004 paper, which states that max α, β adp⊕(α, β→ γ)= adp⊕(0, γ→ γ) for all γ. Furthermore, we prove that there always exist either two or eight distinct pairs α, β such that adp⊕(α, β→ γ)= adp⊕(0, γ→ γ), and we obtain recurrence formulas for calculating adp⊕. To gain insight into the range of possible differential probabilities, we also study other properties such as the minimum value of adp⊕(0, γ→ γ), and we find all γ that satisfy this minimum value.",2021-06-11
2,2,https://www.sciencedirect.com/science/article/pii/S0306261917303343,"In this paper we consider control-oriented modeling of a sensible thermal energy storage (TES) tank with a helical immersed heat exchanger (IHX) coil. A key focus of the modeling approach is to minimize the number of dynamic states required to adequately describe the system dynamics. The resulting model is well-suited for model-based control design, real-time simulation, and hardware-in-the-loop testing aimed at intelligent operation of TES systems. We use a discretized approach to model the temperature dynamics of the water within the storage tank. We use a quasi-steady approach to model the IHX coil dynamics, thereby limiting computational complexity. In simulation, the model runs up to 1200× faster than real-time. A simulated case study of model-based feedback control demonstrates the utility of the modeling approach. The model contains four tuning parameters that are empirically determined using …",2017-06-01
3,5,https://karger.com/dib/article/7/1/63/854396,"Myasthenia gravis (MG) is a rare autoimmune disease characterized by muscle weakness and fatigue. Ptosis (eyelid drooping) occurs due to fatigue of the muscles for eyelid elevation and is one symptom widely used by patients and healthcare providers to track progression of the disease. Margin reflex distance 1 (MRD1) is an accepted clinical measure of ptosis and is typically assessed using a hand-held ruler. In this work, we develop an AI model that enables automated measurement of MRD1 in self-recorded video clips collected using patient smartphones.",2023-03-29
4,6,https://arxiv.org/pdf/2209.11371,"This paper provides a unifying mean field based framework for the derivation and analysis of ensemble Kalman methods. Both state estimation and parameter estimation problems are considered, and formulations in both discrete and continuous time are employed. For state estimation problems both the control and filtering approaches are studied; analogously, for parameter estimation (inverse) problems the optimization and Bayesian perspectives are both studied. The approach taken unifies a wide-ranging literature in the field, provides a framework for analysis of ensemble Kalman methods, and suggests open problems.",2022-09-23
5,8,https://royalsocietypublishing.org/doi/pdf/10.1098/rspa.2019.0741,"Knowledge is a network of interconnected concepts. Yet, precisely how the topological structure of knowledge constrains its acquisition remains unknown, hampering the development of learning enhancement strategies. Here, we study the topological structure of semantic networks reflecting mathematical concepts and their relations in college-level linear algebra texts. We hypothesize that these networks will exhibit structural order, reflecting the logical sequence of topics that ensures accessibility. We find that the networks exhibit strong core–periphery architecture, where a dense core of concepts presented early is complemented with a sparse periphery presented evenly throughout the exposition; the latter is composed of many small modules each reflecting more narrow domains. Using tools from applied topology, we find that the expositional evolution of the semantic networks produces and subsequently fills …",2020-07-29
6,9,https://proceedings.mlr.press/v162/chu22b/chu22b.pdf,"Point cloud models with neural network architectures have achieved great success and been widely used in safety-critical applications, such as Lidar-based recognition systems in autonomous vehicles. However, such models are shown vulnerable against adversarial attacks which aim to apply stealthy semantic transformations such as rotation and tapering to mislead model predictions. In this paper, we propose a transformation-specific smoothing framework TPC, which provides tight and scalable robustness guarantees for point cloud models against semantic transformation attacks. We first categorize common 3D transformations into two categories: composable (eg, rotation) and indirectly composable (eg, tapering), and we present generic robustness certification strategies for both categories. We then specify unique certification protocols for a range of specific semantic transformations and derive strong robustness guarantees. Extensive experiments on several common 3D transformations show that TPC significantly outperforms the state of the art. For example, our framework boosts the certified accuracy against twisting transformation along z-axis (within 20 {\textdegree}) from 20.3% to 83.8%. Codes and models are available at https://github. com/Qianhewu/Point-Cloud-Smoothing.",2022-06-28
7,10,https://scripts.iucr.org/cgi-bin/paper?jt5036,"The local Fourier-space relation between diffracted intensity I, diffraction wavevector q and dose D, \tilde I(q,D), is key to probing and understanding radiation damage by X-rays and energetic particles in both diffraction and imaging experiments. The models used in protein crystallography for the last 50 years provide good fits to experimental I(q) versus nominal dose data, but have unclear physical significance. More recently, a fit to diffraction and imaging experiments suggested that the maximum tolerable dose varies as q−1 or linearly with resolution. Here, it is shown that crystallographic data have been strongly perturbed by the effects of spatially nonuniform crystal irradiation and diffraction during data collection. Reanalysis shows that these data are consistent with a purely exponential local dose dependence, \tilde I(q,D) = I0(q)exp[−D/De(q)], where De(q) ∝ qα with α ≃ 1.7. A physics-based model for radiation …",2019-11-01
8,11,https://ieeexplore.ieee.org/iel7/7083369/7339444/09729171.pdf,"Motion planning for autonomous robots and vehicles in presence of uncontrolled agents remains a challenging problem as the reactive behaviors of the uncontrolled agents must be considered. Since the uncontrolled agents usually demonstrate multimodal reactive behavior, the motion planner needs to solve a continuous motion planning problem under these behaviors, which contains a discrete element. We propose a branch Model Predictive Control (MPC) framework that plans over feedback policies to leverage the reactive behavior of the uncontrolled agent. In particular, a scenario tree is constructed from a finite set of policies of the uncontrolled agent, and the branch MPC solves for a feedback policy in the form of a trajectory tree, which shares the same topology as the scenario tree. Moreover, coherent risk measures such as the Conditional Value at Risk (CVaR) are used as a tuning knob to adjust the …",2022-03-07
9,12,http://users.cms.caltech.edu/~owhadi/index_htm_files/KFDS2.pdf,"In previous work, we showed that learning dynamical system [21] with kernel methods can achieve state of the art, both in terms of accuracy and complexity, for predicting climate/weather time series [20], when the kernel is also learned from data. While the kernels considered in previous work were parametric, in this follow-up paper, we test a non-parametric approach and tune warping kernels (with kernel flows, a variant of cross-validation) for learning prototypical dynamical systems.",2021-12-07
10,14,https://epubs.siam.org/doi/pdf/10.1137/21M145954X,"Quantum subspace diagonalization methods are an exciting new class of algorithms for solving large-scale eigenvalue problems using quantum computers. Unfortunately, these methods require the solution of an ill-conditioned generalized eigenvalue problem, with a matrix pencil corrupted by a nonnegligible amount of noise that is far above the machine precision. Despite pessimistic predictions from classical worst-case perturbation theories, these methods can perform reliably well if the generalized eigenvalue problem is solved using a standard truncation strategy. By leveraging and advancing classical results in matrix perturbation theory, we provide a theoretical analysis of this surprising phenomenon, proving that under certain natural conditions, a quantum subspace diagonalization algorithm can accurately compute the smallest eigenvalue of a large Hermitian matrix. We give numerical experiments …",2022-08-01
